"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_004M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native"
"0500000US22073","Ouachita Parish, Louisiana","58133","1702","64.3","1.7","33.7","1.7","N","N","N","N","N","N","N","N","N","N","N","N","62.7","1.6","5.8","1.4","33.7","1.8","37.7","1.7","22.7","1.3","37910","2489","45.6","3.4","54.4","3.4","64.6","3.6","30.1","3.4","5.3","2.0","20223","1989","60.2","5.4","50.6","5.1","9.5","3.2","39.8","5.4","31.4","4.7","8.4","3.1","28.8","(X)","27.9","(X)","29.4","(X)","36338","2596","46492","3854","23733","3318","N","59890","29270","-","**","55603","39760","N","N","N","N","46584","3771","22500","10757","35748","3898","49346","10408","32294","4183","50434","6851","37448","10640","56974","9056","72180","6598","20014","3087","45783","15400","23227","3138","21182","5003","17814","5171","26949","17647","26411","1978","25055","7436","36425","10827","(X)","(X)","(X)","(X)","(X)","(X)","N"
"0500000US22079","Rapides Parish, Louisiana","49299","1669","68.7","2.0","28.5","1.9","N","N","N","N","N","N","N","N","N","N","N","N","66.6","2.1","3.0","1.3","32.6","2.4","41.2","1.9","23.2","1.5","33286","1933","43.2","3.2","56.8","3.2","66.8","3.8","26.6","3.2","6.6","2.4","16013","1534","54.3","5.2","48.1","5.4","6.2","3.0","45.7","5.2","36.5","5.2","9.2","4.0","27.8","(X)","30.1","(X)","22.9","(X)","41321","1467","50263","3775","26056","3187","53596","N","N","-","**","46660","4977","31031","10421","44626","32916","50300","3592","29315","12911","41187","4677","47880","5914","34816","4203","48542","4251","41145","6209","53255","5569","65520","8033","27707","5432","19953","9745","22095","3581","21382","3407","19838","2129","47615","29174","23763","7191","21018","3860","42733","12754","(X)","(X)","(X)","(X)","(X)","(X)","26004"
"0500000US22097","St. Landry Parish, Louisiana","30937","1042","60.4","1.9","37.4","2.6","N","N","N","N","N","N","N","N","N","N","N","N","58.9","1.9","4.9","1.7","28.1","2.6","41.7","2.2","25.3","1.7","21943","1419","N","N","N","N","N","N","N","N","N","N","8994","1217","51.5","6.4","47.5","6.3","4.0","2.4","48.5","6.4","44.7","6.7","3.7","3.0","45.2","(X)","48.1","(X)","32.4","(X)","35765","4679","47768","6581","19971","1889","-","-","**","-","**","-","**","23860","9480","N","N","47674","7294","24014","4835","50842","8594","43095","8345","22572","2865","46326","6512","42500","13945","51205","8320","66576","4146","19131","4493","34358","10573","15975","4284","13487","1726","12775","1679","35104","13796","21999","4339","21632","4320","30710","19621","(X)","(X)","(X)","(X)","(X)","(X)","**"
"0500000US22103","St. Tammany Parish, Louisiana","89333","1323","85.8","0.9","10.3","0.8","N","N","N","N","N","N","N","N","N","N","4.1","0.7","82.3","1.1","2.1","0.8","32.3","1.9","43.5","1.7","22.2","1.2","65316","2313","42.8","3.0","57.2","3.0","74.0","3.3","19.2","2.9","6.8","1.9","24017","2091","53.6","4.7","49.6","4.7","3.9","2.0","46.4","4.7","34.9","4.7","11.5","3.6","32.8","(X)","32.5","(X)","31.3","(X)","56650","4867","60964","3775","44419","11288","36987","N","N","-","**","N","N","28831","11843","38014","9969","62170","4968","33700","8770","66198","4973","61097","6996","40396","4872","68392","4551","74375","11569","64570","7165","80814","6370","36828","7681","50532","24175","30323","2651","25157","6043","22902","6295","44317","28355","33924","6832","30675","4177","54475","37906","(X)","(X)","(X)","(X)","(X)","(X)","13836"
"0500000US22105","Tangipahoa Parish, Louisiana","43653","1545","73.2","2.2","25.2","2.4","N","N","N","N","N","N","N","N","N","N","N","N","71.4","2.4","6.0","2.1","34.3","2.7","38.3","2.6","21.5","1.4","27469","1940","N","N","N","N","N","N","N","N","N","N","16184","1786","50.8","6.3","40.5","6.2","10.3","4.1","49.2","6.3","37.2","7.1","11.9","4.8","33.1","(X)","33.3","(X)","31.6","(X)","34904","4413","43270","3834","19407","2828","31029","N","N","-","**","-","**","38270","14125","24604","16289","43374","3550","13865","3891","44316","4095","34708","8425","24730","4113","46537","4866","44217","6144","48729","5180","63873","5429","21199","4883","16950","4905","19497","2667","15602","5343","13310","3688","43786","15834","22940","4257","20925","5603","53073","44212","(X)","(X)","(X)","(X)","(X)","(X)","21256"
"0500000US22109","Terrebonne Parish, Louisiana","39043","1274","76.7","2.4","17.7","2.0","N","N","N","N","N","N","N","N","N","N","N","N","75.2","2.2","4.3","1.6","31.4","2.7","41.3","2.6","22.9","2.2","27860","1760","N","N","N","N","N","N","N","N","N","N","11183","1564","49.2","6.8","41.8","6.2","7.4","3.7","50.8","6.8","41.6","7.0","9.2","4.3","34.5","(X)","36.1","(X)","29.6","(X)","48911","4543","53604","5566","27093","8045","72658","N","N","-","**","N","N","N","N","74084","55505","53098","4803","46975","12418","59712","12202","59565","15409","31094","5936","58450","7392","59706","11740","56607","9546","75236","6996","29482","14453","45836","8623","20026","4406","14894","3639","13853","3595","50101","47730","37689","14868","31734","14513","58460","25015","(X)","(X)","(X)","(X)","(X)","(X)","44674"
"0500000US23001","Androscoggin County, Maine","44641","1029","95.0","1.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94.1","0.9","3.1","1.3","31.3","2.2","40.7","2.2","24.9","1.2","27924","1700","N","N","N","N","N","N","N","N","N","N","16717","1674","55.8","4.3","50.1","4.3","5.7","2.2","44.2","4.3","35.9","4.5","8.3","3.3","21.7","(X)","17.8","(X)","24.6","(X)","44297","6105","45858","7225","9361","2513","N","-","**","-","**","-","**","41458","11872","35670","30775","46492","7380","25299","21070","55431","7346","54486","4994","28713","3313","60338","4377","56065","7169","62217","7228","71361","4160","25119","7675","31730","12717","23428","5268","19870","2907","18073","2665","61511","5984","30162","3827","25373","9867","55536","8433","(X)","(X)","(X)","(X)","(X)","(X)","N"
"0500000US23003","Aroostook County, Maine","30811","822","96.9","0.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","96.7","0.7","4.0","1.5","25.2","1.6","41.4","1.6","29.4","1.2","20883","1090","35.6","2.6","64.4","2.6","77.9","3.2","15.2","2.4","6.9","2.2","9928","1067","57.2","5.3","51.1","5.2","6.0","2.7","42.8","5.3","33.2","4.9","9.6","4.0","28.0","(X)","27.1","(X)","28.4","(X)","38453","2528","38365","2603","N","N","12055","97123","41630","-","**","-","**","N","N","31563","19258","38409","2588","19743","12325","49811","6517","49024","3872","24606","3093","50280","2819","44411","4587","52193","3298","56751","4018","19562","5352","41591","7902","19414","1796","17629","2373","16018","2688","31767","4507","25548","2376","21978","5939","33183","4663","(X)","(X)","(X)","(X)","(X)","(X)","7088"
"0500000US23005","Cumberland County, Maine","118269","2198","94.9","0.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","93.8","0.9","2.7","0.8","32.3","1.3","42.4","1.2","22.6","0.9","71533","2516","44.4","2.7","55.6","2.7","77.1","2.3","16.6","2.2","6.3","1.6","46736","2822","54.7","3.1","44.0","3.1","10.7","2.3","45.3","3.1","32.8","3.1","12.5","2.4","23.6","(X)","23.4","(X)","22.6","(X)","55503","2180","57127","2606","24647","10402","15929","46380","24379","-","**","26425","835","39318","31751","41326","13087","57207","2660","30774","13947","53865","4409","71791","4217","41447","4781","72870","3064","66737","8023","74705","3355","84060","3440","35490","5903","43139","15100","35487","1909","30907","3463","25562","2354","62704","11554","38604","3493","35000","4304","63431","10905","(X)","(X)","(X)","(X)","(X)","(X)","14093"
